時間	感受性者	感染者	回復者	フェーズ
886.5	120283173.9	798495.1	3918331.0	hammer
886.6	120268084.8	802177.2	3929738.0	hammer
886.7	120252929.8	805872.5	3941197.7	hammer
886.8	120237708.9	809581.0	3952710.1	hammer
886.9	120222421.8	813302.6	3964275.6	hammer
887.0	120207068.4	817037.5	3975894.2	hammer
887.1	120191648.4	820785.5	3987566.1	hammer
887.2	120176161.6	824546.8	3999291.6	hammer
887.3	120160607.8	828321.3	4011070.8	hammer
887.4	120144986.9	832109.1	4022904.0	hammer
887.5	120129298.7	835910.1	4034791.2	hammer
887.6	120113542.9	839724.3	4046732.8	hammer
887.7	120097719.3	843551.8	4058728.9	hammer
887.8	120081827.8	847392.6	4070779.6	hammer
887.9	120065868.2	851246.6	4082885.2	hammer
888.0	120049840.3	855113.9	4095045.8	hammer
888.1	120033743.8	858994.4	4107261.7	hammer
888.2	120017578.7	862888.2	4119533.1	hammer
888.3	120001344.6	866795.3	4131860.0	hammer
888.4	119985041.5	870715.7	4144242.8	hammer
888.5	119968669.0	874649.4	4156681.6	hammer
888.6	119952227.1	878596.3	4169176.6	hammer
888.7	119935715.5	882556.6	4181727.9	hammer
888.8	119919134.0	886530.1	4194335.9	hammer
888.9	119902482.5	890516.9	4207000.6	hammer
889.0	119885760.8	894517.0	4219722.2	hammer
889.1	119868968.6	898530.3	4232501.0	hammer
889.2	119852105.8	902557.0	4245337.2	hammer
889.3	119835172.2	906596.9	4258230.8	hammer
889.4	119818167.7	910650.1	4271182.2	hammer
889.5	119801091.9	914716.6	4284191.5	hammer
889.6	119783944.8	918796.4	4297258.8	hammer
889.7	119766726.1	922889.4	4310384.5	hammer
889.8	119749435.7	926995.7	4323568.6	hammer
889.9	119732073.4	931115.2	4336811.4	hammer
890.0	119714639.0	935248.0	4350113.0	hammer
890.1	119697132.3	939394.0	4363473.7	hammer
890.2	119679553.1	943553.3	4376893.6	hammer
890.3	119661901.3	947725.8	4390372.9	hammer
890.4	119644176.7	951911.5	4403911.8	hammer
890.5	119626379.0	956110.4	4417510.6	hammer
890.6	119608508.2	960322.6	4431169.3	hammer
890.7	119590564.0	964547.9	4444888.2	hammer
890.8	119572546.2	968786.4	4458667.4	hammer
890.9	119554454.7	973038.1	4472507.2	hammer
891.0	119536289.4	977302.9	4486407.7	hammer
891.1	119518049.9	981580.9	4500369.2	hammer
891.2	119499736.2	985872.1	4514391.7	hammer
891.3	119481348.1	990176.3	4528475.6	hammer
891.4	119462885.3	994493.7	4542621.0	hammer
891.5	119444347.9	998824.1	4556828.0	hammer
891.6	119425735.4	1003167.7	4571096.9	hammer
891.7	119407047.9	1007524.3	4585427.9	hammer
891.8	119388285.0	1011893.9	4599821.1	hammer
891.9	119369446.7	1016276.6	4614276.7	hammer
892.0	119350532.8	1020672.3	4628794.9	hammer
892.1	119331543.1	1025081.0	4643375.9	hammer
892.2	119312477.5	1029502.6	4658019.9	hammer
892.3	119293335.7	1033937.2	4672727.1	hammer
892.4	119274117.6	1038384.8	4687497.6	hammer
892.5	119254823.1	1042845.2	4702331.7	hammer
892.6	119235452.0	1047318.6	4717229.4	hammer
892.7	119216004.1	1051804.8	4732191.1	hammer
892.8	119196479.3	1056303.8	4747216.9	hammer
892.9	119176877.4	1060815.7	4762306.9	hammer
893.0	119157198.2	1065340.4	4777461.4	hammer
893.1	119137441.6	1069877.9	4792680.5	hammer
893.2	119117607.4	1074428.1	4807964.5	hammer
893.3	119097695.5	1078991.0	4823313.5	hammer
893.4	119077705.8	1083566.6	4838727.6	hammer
893.5	119057638.0	1088154.9	4854207.1	hammer
893.6	119037492.0	1092755.8	4869752.2	hammer
893.7	119017267.7	1097369.3	4885362.9	hammer
893.8	118996964.9	1101995.5	4901039.6	hammer
893.9	118976583.5	1106634.1	4916782.4	hammer
894.0	118956123.3	1111285.3	4932591.4	hammer
894.1	118935584.1	1115948.9	4948466.9	hammer
894.2	118914965.9	1120625.0	4964409.0	hammer
894.3	118894268.5	1125313.5	4980418.0	hammer
894.4	118873491.7	1130014.4	4996493.8	hammer
894.5	118852635.4	1134727.7	5012636.9	hammer
894.6	118831699.5	1139453.2	5028847.3	hammer
894.7	118810683.8	1144191.0	5045125.2	hammer
894.8	118789588.2	1148941.1	5061470.7	hammer
894.9	118768412.5	1153703.4	5077884.2	hammer
895.0	118747156.6	1158477.8	5094365.6	hammer
895.1	118725820.4	1163264.3	5110915.3	hammer
895.2	118704403.7	1168062.9	5127533.3	hammer
895.3	118682906.5	1172873.6	5144219.9	hammer
895.4	118661328.5	1177696.3	5160975.2	hammer
895.5	118639669.7	1182530.9	5177799.5	hammer
895.6	118617929.9	1187377.4	5194692.7	hammer
895.7	118596109.0	1192235.7	5211655.3	hammer
895.8	118574206.9	1197105.9	5228687.2	hammer
895.9	118552223.4	1201987.9	5245788.7	hammer
896.0	118530158.5	1206881.6	5262959.9	hammer
896.1	118508012.0	1211787.0	5280201.1	hammer
896.2	118485783.8	1216704.0	5297512.3	hammer
896.3	118463473.7	1221632.5	5314893.8	hammer
896.4	118441081.7	1226572.6	5332345.6	hammer
896.5	118418607.7	1231524.2	5349868.1	hammer
896.6	118396051.5	1236487.2	5367461.3	hammer
896.7	118373413.0	1241461.6	5385125.4	hammer
896.8	118350692.2	1246447.3	5402860.5	hammer
896.9	118327888.8	1251444.3	5420666.9	hammer
897.0	118305002.9	1256452.5	5438544.6	hammer
897.1	118282034.2	1261471.8	5456493.9	hammer
897.2	118258982.8	1266502.3	5474514.9	hammer
897.3	118235848.5	1271543.7	5492607.8	hammer
897.4	118212631.1	1276596.2	5510772.7	hammer
897.5	118189330.6	1281659.6	5529009.8	hammer
897.6	118165947.0	1286733.8	5547319.2	hammer
897.7	118142480.1	1291818.9	5565701.1	hammer
897.8	118118929.7	1296914.6	5584155.6	hammer
897.9	118095296.0	1302021.1	5602682.9	hammer
898.0	118071578.6	1307138.2	5621283.2	hammer
898.1	118047777.6	1312265.8	5639956.6	hammer
898.2	118023892.9	1317403.9	5658703.2	hammer
898.3	117999924.3	1322552.4	5677523.3	hammer
898.4	117975871.8	1327711.3	5696416.9	hammer
898.5	117951735.4	1332880.4	5715384.2	hammer
898.6	117927514.9	1338059.8	5734425.3	hammer
898.7	117903210.3	1343249.3	5753540.4	hammer
898.8	117878821.5	1348448.9	5772729.7	hammer
898.9	117854348.4	1353658.4	5791993.2	hammer
899.0	117829790.9	1358877.9	5811331.2	hammer
899.1	117805149.1	1364107.3	5830743.7	hammer
899.2	117780422.7	1369346.4	5850230.9	hammer
899.3	117755611.8	1374595.2	5869793.0	hammer
899.4	117730716.3	1379853.7	5889430.0	hammer
899.5	117705736.1	1385121.7	5909142.2	hammer
899.6	117680671.2	1390399.2	5928929.6	hammer
899.7	117655521.5	1395686.0	5948792.5	hammer
899.8	117630286.9	1400982.2	5968730.8	hammer
899.9	117604967.5	1406287.7	5988744.8	hammer
900.0	117579563.1	1411602.2	6008834.6	hammer
900.1	117554073.8	1416925.9	6029000.4	hammer
900.2	117528499.4	1422258.5	6049242.1	hammer
900.3	117502839.9	1427600.0	6069560.1	hammer
900.4	117477095.3	1432950.4	6089954.4	hammer
900.5	117451265.5	1438309.4	6110425.1	hammer
900.6	117425350.5	1443677.2	6130972.3	hammer
900.7	117399350.3	1449053.4	6151596.3	hammer
900.8	117373264.8	1454438.2	6172297.0	hammer
900.9	117347094.1	1459831.3	6193074.7	hammer
901.0	117320838.0	1465232.7	6213929.4	hammer
901.1	117294496.5	1470642.3	6234861.3	hammer
901.2	117268069.6	1476060.0	6255870.4	hammer
901.3	117241557.4	1481485.7	6276957.0	hammer
901.4	117214959.7	1486919.3	6298121.0	hammer
901.5	117188276.6	1492360.7	6319362.7	hammer
901.6	117161508.0	1497809.8	6340682.1	hammer
901.7	117134654.0	1503266.6	6362079.4	hammer
901.8	117107714.5	1508730.9	6383554.6	hammer
901.9	117080689.5	1514202.7	6405107.9	hammer
902.0	117053579.0	1519681.7	6426739.3	hammer
902.1	117026383.0	1525168.0	6448449.0	hammer
902.2	116999101.5	1530661.4	6470237.1	hammer
902.3	116971734.5	1536161.8	6492103.7	hammer
902.4	116944282.0	1541669.2	6514048.8	hammer
902.5	116916744.0	1547183.4	6536072.7	hammer
902.6	116889120.5	1552704.2	6558175.3	hammer
902.7	116861411.6	1558231.7	6580356.7	hammer
902.8	116833617.2	1563765.7	6602617.2	hammer
902.9	116805737.3	1569306.0	6624956.6	hammer
903.0	116777772.1	1574852.7	6647375.3	hammer
903.1	116749721.4	1580405.5	6669873.2	hammer
903.2	116721585.3	1585964.3	6692450.4	hammer
903.3	116693363.9	1591529.1	6715107.0	hammer
903.4	116665057.2	1597099.8	6737843.1	hammer
903.5	116636665.1	1602676.1	6760658.8	hammer
903.6	116608187.8	1608258.1	6783554.1	hammer
903.7	116579625.3	1613845.5	6806529.2	hammer
903.8	116550977.5	1619438.4	6829584.1	hammer
903.9	116522244.6	1625036.4	6852718.9	hammer
904.0	116493426.6	1630639.7	6875933.7	hammer
